"","TF","target"
"806","AR","DPYSL3"
"807","AR","DR1"
"808","AR","DRD4"
"809","AR","DRP2"
"810","AR","RCAN1"
"811","AR","TSC22D3"
"812","AR","DSP"
"813","AR","DTNA"
"814","AR","DTNB"
"815","AR","HBEGF"
"816","AR","DTYMK"
"817","AR","ECM2"
"818","AR","DUSP1"
"819","AR","DUSP3"
"820","AR","DUSP5"
"821","AR","DYRK1A"
"822","AR","E2F2"
"823","AR","E2F3"
"824","AR","E2F5"
"825","AR","EBF1"
"826","AR","GPR183"
"827","AR","ECT2"
"828","AR","S1PR1"
"829","AR","LPAR1"
"830","AR","EDNRA"
"831","AR","PHC2"
"832","AR","EEF1A1"
"833","AR","EEF1G"
"834","AR","EIF2D"
"835","AR","EFNA5"
"836","AR","EFNB2"
"837","AR","EGF"
"838","AR","MEGF9"
"839","AR","EPHA2"
"840","AR","EIF4A2"
"841","AR","EIF4B"
"842","AR","EIF4E"
"843","AR","EIF4EBP2"
"844","AR","EIF4G1"
"845","AR","EIF4G2"
"846","AR","SERPINB1"
"847","AR","ELAVL2"
"848","AR","ELF2"
"849","AR","ELK3"
"850","AR","ELN"
"851","AR","EMD"
"852","AR","EMP1"
"853","AR","EMP2"
"854","AR","ENG"
"855","AR","ENO1"
"856","AR","ENPEP"
"857","AR","ENSA"
"858","AR","EPAS1"
"859","AR","EPB41L2"
"860","AR","STOM"
"861","AR","EPHA4"
"862","AR","EPHA5"
"863","AR","EPHA8"
"864","AR","EPHB2"
"865","AR","EPOR"
"866","AR","EPS8"
"867","AR","EPS15"
"868","AR","ERBB4"
"869","AR","ERCC1"
"870","AR","ERCC2"
"871","AR","EREG"
"872","AR","EYA4"
"873","AR","ERCC4"
"874","AR","ERG"
"875","AR","ESRRG"
"876","AR","ETFDH"
"877","AR","ETS2"
"878","AR","ETV4"
"879","AR","ETV5"
"880","AR","EVC"
"881","AR","MECOM"
"882","AR","EVI2A"
"883","AR","EVI2B"
"884","AR","EXT1"
"885","AR","EXT2"
"886","AR","EXTL2"
"887","AR","EYA1"
"888","AR","EYA2"
"889","AR","EYA3"
"890","AR","EZH2"
"891","AR","F2R"
"892","AR","F2RL2"
"893","AR","F3"
"894","AR","F5"
"895","AR","F13A1"
"896","AR","FANCC"
"897","AR","FANCD2"
"898","AR","ACSL3"
"899","AR","ACSL4"
"900","AR","PTK2B"
"901","AR","BPTF"
"902","AR","FAP"
"903","AR","FBLN1"
"904","AR","FARSA"
"905","AR","FAT1"
"906","AR","FBLN2"
"907","AR","FBN1"
"908","AR","EFEMP1"
"909","AR","FCN2"
"910","AR","GPC4"
"911","AR","FER"
"912","AR","FGF1"
"913","AR","FGF7"
"914","AR","FGF11"
"915","AR","FGF14"
"916","AR","GPC5"
"917","AR","FGR"
"918","AR","FHIT"
"919","AR","FHL1"
"920","AR","FHL3"
"921","AR","FKBP1A"
"922","AR","FKBP5"
"923","AR","FOXD1"
"924","AR","FOXL1"
"925","AR","FOXO1"
"926","AR","FOXO3"
"927","AR","FLNB"
"928","AR","FLNC"
"929","AR","FMR1"
"930","AR","AFF2"
"931","AR","FNTB"
"932","AR","FOLR3"
"933","AR","FOSB"
"934","AR","FOSL2"
"935","AR","FPR1"
"936","AR","FPR2"
"937","AR","FRK"
"938","AR","MTOR"
"939","AR","FRZB"
"940","AR","NR5A2"
"941","AR","FTH1"
"942","AR","FUCA1"
"943","AR","FUT4"
"944","AR","FUT8"
"945","AR","KDSR"
"946","AR","FYB"
"947","AR","FYN"
"948","AR","FZD2"
"949","AR","GABPB1"
"950","AR","GABRB1"
"951","AR","GABRE"
"952","AR","GABRR1"
"953","AR","GABRR2"
"954","AR","GAD1"
"955","AR","GALE"
"956","AR","GALK2"
"957","AR","GALNT2"
"958","AR","GALNT3"
"959","AR","GANC"
"960","AR","GAP43"
"961","AR","GAS1"
"962","AR","GAS6"
"963","AR","GAS8"
"964","AR","GATA4"
"965","AR","GBA"
"966","AR","GBE1"
"967","AR","GBP2"
"968","AR","GBP3"
"969","AR","GBX2"
"970","AR","BLOC1S1"
"971","AR","NR6A1"
"972","AR","GCNT1"
"973","AR","MSTN"
"974","AR","GDI2"
"975","AR","GFAP"
"976","AR","GFRA1"
"977","AR","GGCX"
"978","AR","B4GALT1"
"979","AR","GGT7"
"980","AR","GGT5"
"981","AR","GHR"
"982","AR","GHSR"
"983","AR","GJA1"
"984","AR","GK"
"985","AR","GPC3"
"986","AR","GCLC"
"987","AR","GCLM"
"988","AR","GLDC"
"989","AR","GLG1"
"990","AR","GLI2"
"991","AR","GLI3"
"992","AR","GLO1"
"993","AR","GLRA1"
"994","AR","GLRB"
"995","AR","GLS"
"996","AR","GLRX"
"997","AR","GLUD1"
"998","AR","GLUL"
"999","AR","GMDS"
"1000","AR","GMPR"
"1001","AR","GNA12"
"1002","AR","GNA15"
"1003","AR","GNAI1"
"1004","AR","GNAI3"
"1005","AR","GNAL"
"1006","AR","GNAQ"
"1007","AR","GNAS"
"1008","AR","GNG4"
"1009","AR","GNG5"
"1010","AR","GNG7"
"1011","AR","GNS"
"1012","AR","GOLGA4"
"1013","AR","GOLGB1"
"1014","AR","GPD2"
"1015","AR","GPM6B"
"1016","AR","GPR1"
"1017","AR","GPR3"
"1018","AR","GPR39"
"1019","AR","GRK4"
"1020","AR","MKNK2"
"1021","AR","GPX1"
"1022","AR","GPX4"
"1023","AR","GRB2"
"1024","AR","GRB10"
"1025","AR","GRB14"
"1026","AR","RAPGEF1"
"1027","AR","GRIA1"
"1028","AR","GRIA3"
"1029","AR","GRID2"
"1030","AR","GRIK1"
"1031","AR","GRIK2"
"1032","AR","GRIN2D"
"1033","AR","NR3C1"
"1034","AR","ARHGAP35"
"1035","AR","GRM1"
"1036","AR","GRM5"
"1037","AR","CXCL1"
"1038","AR","CXCL2"
"1039","AR","CXCL3"
"1040","AR","GRPR"
"1041","AR","GSK3B"
"1042","AR","GSN"
"1043","AR","GSR"
"1044","AR","GSTA4"
"1045","AR","GTF2E1"
"1046","AR","GTF2F2"
"1047","AR","GTF2I"
"1048","AR","GUCA1B"
"1049","AR","GUCY1B3"
"1050","AR","GUCY2C"
"1051","AR","GYG1"
"1052","AR","GYPC"
"1053","AR","GYS2"
"1054","AR","GZMK"
"1055","AR","HIST1H1C"
"1056","AR","HIST1H1D"
"1057","AR","HIST1H1T"
"1058","AR","HIST1H2AE"
"1059","AR","H2AFZ"
"1060","AR","HADH"
"1061","AR","HCRTR1"
"1062","AR","HTT"
"1063","AR","HDC"
"1064","AR","HDGF"
"1065","AR","HDLBP"
"1066","AR","CFH"
"1067","AR","HFE"
"1068","AR","NRG1"
"1069","AR","HIC1"
"1070","AR","HIF1A"
"1071","AR","HIP1"
"1072","AR","HIVEP1"
"1073","AR","HIVEP2"
"1074","AR","HK1"
"1075","AR","HK2"
"1076","AR","MNX1"
"1077","AR","HLA-DOB"
"1078","AR","MR1"
"1079","AR","HLCS"
"1080","AR","HMGCR"
"1081","AR","HMGA1"
"1082","AR","HMOX2"
"1083","AR","HNMT"
"1084","AR","HNRNPA1"
"1085","AR","HNRNPC"
"1086","AR","HNRNPD"
"1087","AR","HNRNPK"
"1088","AR","HNRNPL"
"1089","AR","HNRNPU"
"1090","AR","TLX2"
"1091","AR","HOXB1"
"1092","AR","HOXB2"
"1093","AR","HOXB3"
"1094","AR","HOXB6"
"1095","AR","HOXB7"
"1096","AR","HOXB8"
