,from,to,human_ligand,human_receptor
2553,AMEX60DD034687,AMEX60DD042067,LAMA2,ITGA1
2554,AMEX60DD039130,AMEX60DD042067,LAMA1,ITGA1
2555,AMEX60DD055540,AMEX60DD042067,COL6A1,ITGA1
2556,AMEX60DD032708,AMEX60DD042067,COL4A4,ITGA1
2557,AMEX60DD050718,AMEX60DD042067,COL5A1,ITGA1
2558,AMEX60DD055538,AMEX60DD042067,COL6A2,ITGA1
2559,AMEX60DD031839,AMEX60DD042067,COL4A3,ITGA1
2560,AMEX60DD029426,AMEX60DD042067,COL2A1,ITGA1
2561,AMEX60DD048295,AMEX60DD042067,VEGFD,ITGA1
2563,AMEX60DD055164,AMEX60DD042067,COL5A2,ITGA1
2564,AMEX60DD022398,AMEX60DD042067,COL1A2,ITGA1
2565,AMEX60DD005459,AMEX60DD042067,MATN1,ITGA1
2566,AMEX60DD047873,AMEX60DD042067,COL4A1,ITGA1
2573,AMEX60DD036922,AMEX60DD054983,WNT11,FZD7
2574,AMEX60DD029980,AMEX60DD054983,WNT1,FZD7
2579,AMEX60DD024186,AMEX60DD040513,GNAI2,ADCY8
2580,AMEX60DD025368,AMEX60DD040513,CALM1,ADCY8
2581,AMEX60DD035913,AMEX60DD040513,CALM3,ADCY8
2582,AMEX60DD052091,AMEX60DD022211,WNT4,FZD1
2583,AMEX60DD006490,AMEX60DD022211,WNT7B,FZD1
2584,AMEX60DD029980,AMEX60DD022211,WNT1,FZD1
2610,AMEX60DD024186,AMEX60DD037922,GNAI2,CCR5
2618,AMEX60DD054221,AMEX60DD037922,CCL3L3,CCR5
2619,AMEX60DD003392,AMEX60DD037922,IL16,CCR5
2620,AMEX60DD054218,AMEX60DD037922,CCL4,CCR5
2625,AMEX60DD005046,AMEX60DD027855,FGF3,FGFR4
2627,AMEX60DD048160,AMEX60DD027855,FGF14,FGFR4
2628,AMEX60DD048162,AMEX60DD027855,FGF11,FGFR4
2630,AMEX60DD002799,AMEX60DD027855,FGF17,FGFR4
2631,AMEX60DD037078,AMEX60DD027855,FGF16,FGFR4
2632,AMEX60DD037407,AMEX60DD027855,FGF13,FGFR4
2633,AMEX60DD003212,AMEX60DD027855,FGF12,FGFR4
2634,AMEX60DD049338,AMEX60DD027855,FGF9,FGFR4
2635,AMEX60DD052891,AMEX60DD027855,FGF8,FGFR4
2637,AMEX60DD025587,AMEX60DDU001005665,L1CAM,ITGA5
2640,AMEX60DD019011,AMEX60DDU001005665,CCN1,ITGA5
2641,AMEX60DD045101,AMEX60DDU001005665,FGG,ITGA5
2643,AMEX60DD048295,AMEX60DDU001005665,VEGFD,ITGA5
2644,AMEX60DD034258,AMEX60DDU001005665,CCN2,ITGA5
2645,AMEX60DD045096,AMEX60DDU001005665,FGB,ITGA5
2646,AMEX60DD003755,AMEX60DDU001005665,FBN1,ITGA5
2647,AMEX60DD040289,AMEX60DDU001005665,ANGPT1,ITGA5
2648,AMEX60DD055544,AMEX60DDU001005665,COL18A1,ITGA5
2650,AMEX60DD033279,AMEX60DDU001005665,ADAM17,ITGA5
2651,AMEX60DD019394,AMEX60DDU001005665,ANGPTL3,ITGA5
2652,AMEX60DD055420,AMEX60DDU001005665,FN1,ITGA5
2655,AMEX60DD024186,AMEX60DD020291,GNAI2,ADCY9
2656,AMEX60DD029006,AMEX60DD004352,WNT8A,LRP5
2657,AMEX60DD009984,AMEX60DD004352,SOST,LRP5
2658,AMEX60DD006490,AMEX60DD004352,WNT7B,LRP5
2659,AMEX60DD051636,AMEX60DD004352,WNT8B,LRP5
2660,AMEX60DD052549,AMEX60DD004352,DKK1,LRP5
