,from,to,human_ligand,human_receptor
3,AMEX60DDU001005418,AMEX60DD055040,SEMA3F,NRP2
5,AMEX60DD030506,AMEX60DD053102,HEBP1,ADRA2A
6,AMEX60DD030506,AMEX60DD049589,HEBP1,MTNR1A
9,AMEX60DD007589,AMEX60DD022047,DCN,EGFR
11,AMEX60DD007589,AMEX60DD055396,DCN,ERBB4
28,AMEX60DD006587,AMEX60DD027855,FGF4,FGFR4
29,AMEX60DD006587,AMEX60DD002586,FGF4,FGFR1
30,AMEX60DD006587,AMEX60DD046037,FGF4,FGFR3
32,AMEX60DD002716,AMEX60DD022047,ST6GAL1,EGFR
33,AMEX60DD030673,AMEX60DD002483,NTN1,UNC5D
34,AMEX60DD030673,AMEX60DD051903,NTN1,UNC5B
35,AMEX60DD030673,AMEX60DD041771,NTN1,DCC
36,AMEX60DD030673,AMEX60DD027843,NTN1,UNC5A
37,AMEX60DD030673,AMEX60DD054777,NTN1,ADORA2B
38,AMEX60DD030673,AMEX60DD044041,NTN1,UNC5C
39,AMEX60DD030673,AMEX60DD003881,NTN1,NEO1
52,AMEX60DD045469,AMEX60DD027855,FGF20,FGFR4
53,AMEX60DD045469,AMEX60DD002586,FGF20,FGFR1
54,AMEX60DD045469,AMEX60DD046037,FGF20,FGFR3
57,AMEX60DD036933,AMEX60DDU001023170,EFNB1,EPHB6
58,AMEX60DD036933,AMEX60DD012724,EFNB1,EPHB4
59,AMEX60DD036933,AMEX60DD010312,EFNB1,ERBB2
60,AMEX60DD036933,AMEX60DD002331,EFNB1,EPHB1
61,AMEX60DD036933,AMEX60DD001552,EFNB1,EPHB3
62,AMEX60DD036933,AMEX60DD052063,EFNB1,EPHB2
63,AMEX60DD036933,AMEX60DD002422,EFNB1,EPHA4
70,AMEX60DD052160,AMEX60DD056076,VCL,ITGB5
71,AMEX60DD052160,AMEX60DD011957,VCL,ALK
72,AMEX60DD013511,AMEX60DD033914,EFNA2,EPHA7
73,AMEX60DD013511,AMEX60DD005849,EFNA2,EPHA10
75,AMEX60DD013511,AMEX60DD026309,EFNA2,EPHA1
76,AMEX60DD013511,AMEX60DD043966,EFNA2,EPHA5
77,AMEX60DD013511,AMEX60DD002422,EFNA2,EPHA4
79,AMEX60DD013511,AMEX60DD052346,EFNA2,EPHA2
85,AMEX60DDU001032566,AMEX60DD055954,MIF,CXCR4
87,AMEX60DDU001032566,AMEX60DD022047,MIF,EGFR
88,AMEX60DDU001032566,AMEX60DD056252,MIF,CXCR2
95,AMEX60DD029362,AMEX60DD018338,LGALS1,PTPRC
96,AMEX60DD011644,AMEX60DD051881,NID2,COL13A1
104,AMEX60DD046199,AMEX60DD007737,OXT,AVPR1A
105,AMEX60DD046199,AMEX60DD023546,OXT,OXTR
106,AMEX60DD037400,AMEX60DD029732,F9,LRP1
112,AMEX60DD017764,AMEX60DD040162,MMP2,SDC2
113,AMEX60DD017764,AMEX60DD002586,MMP2,FGFR1
124,AMEX60DD002950,AMEX60DD009877,SFRP1,FZD2
127,AMEX60DD002881,AMEX60DD029732,PLAT,LRP1
128,AMEX60DD002881,AMEX60DD055359,PLAT,ITGB2
129,AMEX60DDU001004067,AMEX60DD006973,DKK4,LRP6
130,AMEX60DDU001004067,AMEX60DD004352,DKK4,LRP5
149,AMEX60DD024471,AMEX60DD022047,TGFB1,EGFR
150,AMEX60DD024471,AMEX60DD003401,TGFB1,SMAD3
151,AMEX60DD024471,AMEX60DD022702,TGFB1,TGFBR2
152,AMEX60DD024471,AMEX60DD009754,TGFB1,ITGB3
153,AMEX60DD024471,AMEX60DD038999,TGFB1,TGFBR1
154,AMEX60DD024471,AMEX60DD030013,TGFB1,ACVRL1
156,AMEX60DD024471,AMEX60DD055305,TGFB1,ITGAV
158,AMEX60DD024471,AMEX60DD006319,TGFB1,CAV1
159,AMEX60DD024471,AMEX60DD040162,TGFB1,SDC2
160,AMEX60DD024471,AMEX60DD022278,TGFB1,ITGB8
161,AMEX60DD024471,AMEX60DD055954,TGFB1,CXCR4
162,AMEX60DD024471,AMEX60DD056076,TGFB1,ITGB5
170,AMEX60DD006229,AMEX60DD033101,HGF,SDC1
173,AMEX60DD006229,AMEX60DD040162,HGF,SDC2
175,AMEX60DD006229,AMEX60DD053573,HGF,ST14
176,AMEX60DD007482,AMEX60DD029894,LAMB1,ITGA7
177,AMEX60DD007482,AMEX60DD055305,LAMB1,ITGAV
179,AMEX60DD007482,AMEX60DD055675,LAMB1,ITGA6
180,AMEX60DD007482,AMEX60DD042067,LAMB1,ITGA1
181,AMEX60DD007482,AMEX60DD042070,LAMB1,ITGA2
183,AMEX60DD007453,AMEX60DD027998,NAMPT,ADORA2A
187,AMEX60DD025767,AMEX60DD030144,PDAP1,PDGFRB
190,AMEX60DD013396,AMEX60DD055305,SERPINE1,ITGAV
191,AMEX60DD013396,AMEX60DD029732,SERPINE1,LRP1
192,AMEX60DD013396,AMEX60DD056076,SERPINE1,ITGB5
193,AMEX60DD050615,AMEX60DD053102,C5,ADRA2A
194,AMEX60DD050615,AMEX60DD049589,C5,MTNR1A
229,AMEX60DD009937,AMEX60DDU001005665,COL1A1,ITGA5
231,AMEX60DD009937,AMEX60DD030160,COL1A1,FLT4
232,AMEX60DD009937,AMEX60DD006223,COL1A1,CD36
233,AMEX60DD009937,AMEX60DD042067,COL1A1,ITGA1
234,AMEX60DD009937,AMEX60DD018528,COL1A1,DDR2
236,AMEX60DD009937,AMEX60DD055305,COL1A1,ITGAV
238,AMEX60DD009937,AMEX60DD004228,COL1A1,ITGA11
239,AMEX60DD009937,AMEX60DD029322,COL1A1,TMPRSS6
240,AMEX60DD009937,AMEX60DD042070,COL1A1,ITGA2
241,AMEX60DD009937,AMEX60DD051010,COL1A1,DDR1
242,AMEX60DD013025,AMEX60DDU001023170,EFNB3,EPHB6
243,AMEX60DD013025,AMEX60DD012724,EFNB3,EPHB4
245,AMEX60DD013025,AMEX60DD002331,EFNB3,EPHB1
246,AMEX60DD013025,AMEX60DD001552,EFNB3,EPHB3
247,AMEX60DD013025,AMEX60DD052063,EFNB3,EPHB2
248,AMEX60DD013025,AMEX60DD002422,EFNB3,EPHA4
249,AMEX60DD054883,AMEX60DDU001005665,VTN,ITGA5
250,AMEX60DD054883,AMEX60DD022164,VTN,ITGA8
252,AMEX60DD054883,AMEX60DD055305,VTN,ITGAV
254,AMEX60DD054883,AMEX60DD045536,VTN,KDR
257,AMEX60DD054883,AMEX60DD009754,VTN,ITGB3
259,AMEX60DD054883,AMEX60DD040387,VTN,TNFRSF11B
261,AMEX60DD054883,AMEX60DD056076,VTN,ITGB5
291,AMEX60DD005045,AMEX60DD027855,FGF6,FGFR4
292,AMEX60DD005045,AMEX60DD002586,FGF6,FGFR1
293,AMEX60DD005045,AMEX60DD046037,FGF6,FGFR3
301,AMEX60DD035117,AMEX60DD055675,LAMA4,ITGA6
302,AMEX60DD035117,AMEX60DD055305,LAMA4,ITGAV
320,AMEX60DD024084,AMEX60DD055040,SEMA3G,NRP2
321,AMEX60DD002300,AMEX60DD029732,LTF,LRP1
322,AMEX60DD002300,AMEX60DD003146,LTF,TFRC
345,AMEX60DD056290,AMEX60DD049635,WNT6,FZD4
349,AMEX60DD018261,AMEX60DD044621,ANGPTL1,TEK
356,AMEX60DD006585,AMEX60DD048470,FGF23,PHEX
357,AMEX60DD006585,AMEX60DD049227,FGF23,KL
358,AMEX60DD006585,AMEX60DD027855,FGF23,FGFR4
359,AMEX60DD006585,AMEX60DD002586,FGF23,FGFR1
360,AMEX60DD006585,AMEX60DD046037,FGF23,FGFR3
363,AMEX60DD011161,AMEX60DD022702,TGFB3,TGFBR2
364,AMEX60DD011161,AMEX60DD009754,TGFB3,ITGB3
365,AMEX60DD011161,AMEX60DD038999,TGFB3,TGFBR1
366,AMEX60DD011161,AMEX60DD030013,TGFB3,ACVRL1
368,AMEX60DD011161,AMEX60DD056076,TGFB3,ITGB5
388,AMEX60DD009229,AMEX60DD035296,GSTM2,RYR2
392,AMEX60DD038105,AMEX60DD003401,INHBA,SMAD3
393,AMEX60DD038105,AMEX60DD021836,INHBA,BAMBI
394,AMEX60DD038105,AMEX60DD030011,INHBA,ACVR1B
435,AMEX60DD032076,AMEX60DD049589,C3,MTNR1A
441,AMEX60DD032076,AMEX60DD053102,C3,ADRA2A
442,AMEX60DD032076,AMEX60DD004560,C3,IFITM1
444,AMEX60DD032076,AMEX60DD055359,C3,ITGB2
445,AMEX60DD032076,AMEX60DD004546,C3,CD81
446,AMEX60DD024888,AMEX60DD056252,VASP,CXCR2
458,AMEX60DD011563,AMEX60DD031636,DLL4,NOTCH3
459,AMEX60DD004665,AMEX60DD046210,TPH1,HTR7
460,AMEX60DD004665,AMEX60DD042224,TPH1,HTR1A
461,AMEX60DD004665,AMEX60DD047918,TPH1,HTR1F
462,AMEX60DD004665,AMEX60DD042223,TPH1,HTR1D
463,AMEX60DD004665,AMEX60DD037553,TPH1,HTR2C
465,AMEX60DD004665,AMEX60DD051542,TPH1,HTR6
466,AMEX60DD004665,AMEX60DD033647,TPH1,HTR1B
468,AMEX60DD004665,AMEX60DD003018,TPH1,HTR2B
469,AMEX60DD004665,AMEX60DD056015,TPH1,HTR5A
470,AMEX60DD004665,AMEX60DD033799,TPH1,HTR1E
472,AMEX60DDU001017415,AMEX60DD049589,AANAT,MTNR1A
489,AMEX60DD013937,AMEX60DD039579,NCAN,CDH2
498,AMEX60DD026932,AMEX60DD033101,LAMA5,SDC1
499,AMEX60DD026932,AMEX60DD055675,LAMA5,ITGA6
502,AMEX60DD026932,AMEX60DD042070,LAMA5,ITGA2
508,AMEX60DD035775,AMEX60DD031636,JAG1,NOTCH3
511,AMEX60DD007681,AMEX60DD009197,NTS,SORT1
512,AMEX60DD007681,AMEX60DD026971,NTS,NTSR1
514,AMEX60DD008679,AMEX60DD020537,TSHB,PTH1R
516,AMEX60DD008679,AMEX60DD021330,TSHB,VIPR1
518,AMEX60DD008679,AMEX60DD027709,TSHB,ADRB2
520,AMEX60DD008679,AMEX60DD011301,TSHB,TSHR
521,AMEX60DD008679,AMEX60DDU001005617,TSHB,GPR84
523,AMEX60DD042075,AMEX60DD054991,FST,BMPR2
524,AMEX60DD042075,AMEX60DD044042,FST,BMPR1B
528,AMEX60DD006711,AMEX60DD030798,SPX,GALR2
531,AMEX60DD042813,AMEX60DDU001006483,SEMA6A,PLXNA2
534,AMEX60DD029944,AMEX60DD030011,GDF11,ACVR1B
535,AMEX60DD029944,AMEX60DD054991,GDF11,BMPR2
536,AMEX60DD029944,AMEX60DD044043,GDF11,BMPR1A
537,AMEX60DD029944,AMEX60DD044042,GDF11,BMPR1B
538,AMEX60DD018598,AMEX60DD055675,LAMC1,ITGA6
539,AMEX60DD018598,AMEX60DD042067,LAMC1,ITGA1
540,AMEX60DD018598,AMEX60DD029894,LAMC1,ITGA7
541,AMEX60DD018598,AMEX60DD055305,LAMC1,ITGAV
543,AMEX60DD018598,AMEX60DD042070,LAMC1,ITGA2
570,AMEX60DD049502,AMEX60DD033101,MMP7,SDC1
572,AMEX60DD049502,AMEX60DD055396,MMP7,ERBB4
573,AMEX60DD012285,AMEX60DD055551,THBS1,ITGA4
575,AMEX60DD012285,AMEX60DD033101,THBS1,SDC1
577,AMEX60DD012285,AMEX60DD004352,THBS1,LRP5
579,AMEX60DD012285,AMEX60DD009754,THBS1,ITGB3
581,AMEX60DD012285,AMEX60DD000055,THBS1,SCARB1
582,AMEX60DD012285,AMEX60DD055675,THBS1,ITGA6
583,AMEX60DD012285,AMEX60DD040387,THBS1,TNFRSF11B
584,AMEX60DD012285,AMEX60DD006223,THBS1,CD36
586,AMEX60DD004094,AMEX60DD044021,ADAM10,TSPAN5
587,AMEX60DD004094,AMEX60DD024397,ADAM10,TSPAN15
590,AMEX60DD004094,AMEX60DD053960,ADAM10,CADM1
591,AMEX60DD004094,AMEX60DD052032,ADAM10,TSPAN14
598,AMEX60DD004094,AMEX60DD024484,ADAM10,AXL
601,AMEX60DD048332,AMEX60DD042067,COL8A1,ITGA1
602,AMEX60DD048332,AMEX60DD042070,COL8A1,ITGA2
604,AMEX60DD006619,AMEX60DD032718,VWF,SCARA5
606,AMEX60DD006619,AMEX60DD009754,VWF,ITGB3
607,AMEX60DD006619,AMEX60DD008383,VWF,STAB2
610,AMEX60DD006619,AMEX60DD040387,VWF,TNFRSF11B
612,AMEX60DD017034,AMEX60DD022047,CDH1,EGFR
613,AMEX60DD017034,AMEX60DD004352,CDH1,LRP5
616,AMEX60DD017034,AMEX60DD029929,CDH1,ERBB3
618,AMEX60DD017034,AMEX60DD039579,CDH1,CDH2
620,AMEX60DD017034,AMEX60DD039263,CDH1,PTPRM
621,AMEX60DD017034,AMEX60DD020036,CDH1,PTPRF
626,AMEX60DD048549,AMEX60DD040162,ANOS1,SDC2
627,AMEX60DD048549,AMEX60DD002586,ANOS1,FGFR1
640,AMEX60DD024558,AMEX60DD039367,MIA,CDH7
642,AMEX60DD023636,AMEX60DD023815,CNTN3,PTPRG
648,AMEX60DD002235,AMEX60DDU001006483,FARP2,PLXNA2
650,AMEX60DD018597,AMEX60DD055675,LAMC2,ITGA6
653,AMEX60DD018597,AMEX60DD042070,LAMC2,ITGA2
665,AMEX60DD044865,AMEX60DD033101,FGF2,SDC1
666,AMEX60DD044865,AMEX60DD002586,FGF2,FGFR1
671,AMEX60DD044865,AMEX60DD037492,FGF2,GPC4
672,AMEX60DD044865,AMEX60DD040162,FGF2,SDC2
673,AMEX60DD044865,AMEX60DD046097,FGF2,FGFRL1
674,AMEX60DD044865,AMEX60DD027855,FGF2,FGFR4
675,AMEX60DD044865,AMEX60DD046037,FGF2,FGFR3
679,AMEX60DD023726,AMEX60DD036540,WNT5A,PTK7
680,AMEX60DD023726,AMEX60DD032011,WNT5A,LDLR
681,AMEX60DD023726,AMEX60DD004352,WNT5A,LRP5
682,AMEX60DD023726,AMEX60DD033914,WNT5A,EPHA7
683,AMEX60DD023726,AMEX60DD055073,WNT5A,FZD5
684,AMEX60DD023726,AMEX60DD019369,WNT5A,ROR1
685,AMEX60DD023726,AMEX60DD016905,WNT5A,VANGL2
686,AMEX60DD023726,AMEX60DD002309,WNT5A,RYK
687,AMEX60DD023726,AMEX60DD042956,WNT5A,ROR2
688,AMEX60DD023726,AMEX60DD034694,WNT5A,PTPRK
689,AMEX60DD023726,AMEX60DD027709,WNT5A,ADRB2
690,AMEX60DD023726,AMEX60DD022211,WNT5A,FZD1
691,AMEX60DD023726,AMEX60DD049635,WNT5A,FZD4
693,AMEX60DD023726,AMEX60DD054983,WNT5A,FZD7
695,AMEX60DD023726,AMEX60DD021741,WNT5A,FZD8
696,AMEX60DD023726,AMEX60DD009877,WNT5A,FZD2
697,AMEX60DD023726,AMEX60DD001404,WNT5A,ANTXR1
700,AMEX60DD042028,AMEX60DD046097,FGF10,FGFRL1
701,AMEX60DD042028,AMEX60DD002586,FGF10,FGFR1
712,AMEX60DDU001007321,AMEX60DD047487,OLFM2,ROBO2
713,AMEX60DD038300,AMEX60DD055551,F13A1,ITGA4
726,AMEX60DD004178,AMEX60DD055551,VCAN,ITGA4
728,AMEX60DD004178,AMEX60DD022047,VCAN,EGFR
731,AMEX60DD050822,AMEX60DDU001005665,TNC,ITGA5
732,AMEX60DD050822,AMEX60DD033101,TNC,SDC1
733,AMEX60DD050822,AMEX60DD022047,TNC,EGFR
734,AMEX60DD050822,AMEX60DD009754,TNC,ITGB3
736,AMEX60DD050822,AMEX60DD006522,TNC,PTPRB
737,AMEX60DD050822,AMEX60DD022164,TNC,ITGA8
738,AMEX60DD050822,AMEX60DD029894,TNC,ITGA7
742,AMEX60DD050822,AMEX60DD042070,TNC,ITGA2
743,AMEX60DD044302,AMEX60DD022047,EGF,EGFR
744,AMEX60DD044302,AMEX60DD032011,EGF,LDLR
745,AMEX60DD044302,AMEX60DDU001036868,EGF,FSHR
746,AMEX60DD044302,AMEX60DD029929,EGF,ERBB3
747,AMEX60DD044302,AMEX60DD027709,EGF,ADRB2
748,AMEX60DD044302,AMEX60DD006319,EGF,CAV1
750,AMEX60DD044302,AMEX60DD010312,EGF,ERBB2
751,AMEX60DD044302,AMEX60DD055396,EGF,ERBB4
753,AMEX60DD044302,AMEX60DD024484,EGF,AXL
754,AMEX60DD006224,AMEX60DD023498,SEMA3C,PLXND1
756,AMEX60DD006224,AMEX60DD055040,SEMA3C,NRP2
761,AMEX60DD006239,AMEX60DDU001006483,SEMA3A,PLXNA2
762,AMEX60DD006239,AMEX60DD055040,SEMA3A,NRP2
771,AMEX60DD025890,AMEX60DD029261,NPTX2,NPTXR
772,AMEX60DD004335,AMEX60DD053102,GAL,ADRA2A
773,AMEX60DD004335,AMEX60DD049589,GAL,MTNR1A
774,AMEX60DD004335,AMEX60DD030798,GAL,GALR2
776,AMEX60DD004335,AMEX60DD028784,GAL,GPR151
777,AMEX60DD004335,AMEX60DD017775,GAL,GALR1
787,AMEX60DD007066,AMEX60DD037538,TIMP3,AGTR2
798,AMEX60DD003767,AMEX60DD027855,FGF7,FGFR4
799,AMEX60DD003767,AMEX60DD002586,FGF7,FGFR1
800,AMEX60DD003767,AMEX60DD046037,FGF7,FGFR3
802,AMEX60DD003594,AMEX60DD027783,HDC,HRH2
803,AMEX60DD003594,AMEX60DD026924,HDC,HRH3
804,AMEX60DD004173,AMEX60DD009754,MFGE8,ITGB3
805,AMEX60DD010139,AMEX60DD021741,IGFBP4,FZD8
822,AMEX60DD009087,AMEX60DD047640,REN,ATP6AP2
825,AMEX60DD054284,AMEX60DD040528,CALM2,KCNQ3
826,AMEX60DD054284,AMEX60DD022047,CALM2,EGFR
827,AMEX60DD054284,AMEX60DD033597,CALM2,KCNQ5
829,AMEX60DD054284,AMEX60DD056087,CALM2,MYLK
832,AMEX60DD054284,AMEX60DD040513,CALM2,ADCY8
833,AMEX60DD054284,AMEX60DD037995,CALM2,PDE1C
836,AMEX60DD054284,AMEX60DD018191,CALM2,PLPP6
837,AMEX60DD054284,AMEX60DD029838,CALM2,AQP6
838,AMEX60DD054284,AMEX60DD049625,CALM2,GRM5
839,AMEX60DD054284,AMEX60DD027192,CALM2,MYLK2
840,AMEX60DD054284,AMEX60DD021318,CALM2,AQP1
841,AMEX60DD054284,AMEX60DD009634,CALM2,SCN4A
843,AMEX60DD023878,AMEX60DD022047,LRIG1,EGFR
848,AMEX60DD045083,AMEX60DD055073,SFRP2,FZD5
849,AMEX60DD042911,AMEX60DD013570,MEGF10,ABCA1
852,AMEX60DD046672,AMEX60DD027855,FGF18,FGFR4
853,AMEX60DD046672,AMEX60DD002586,FGF18,FGFR1
854,AMEX60DD046672,AMEX60DD046037,FGF18,FGFR3
867,AMEX60DD040292,AMEX60DD004952,RSPO2,LGR4
868,AMEX60DD040292,AMEX60DD001151,RSPO2,ZNRF3
875,AMEX60DD025268,AMEX60DD011301,GPHA2,TSHR
893,AMEX60DD043575,AMEX60DD054991,BMP3,BMPR2
894,AMEX60DD043575,AMEX60DD044043,BMP3,BMPR1A
895,AMEX60DD043575,AMEX60DD044042,BMP3,BMPR1B
897,AMEX60DD038339,AMEX60DD054991,BMP6,BMPR2
898,AMEX60DD038339,AMEX60DD044043,BMP6,BMPR1A
899,AMEX60DD038339,AMEX60DD044042,BMP6,BMPR1B
900,AMEX60DD006241,AMEX60DD023498,SEMA3D,PLXND1
901,AMEX60DD020503,AMEX60DD004352,WNT3A,LRP5
902,AMEX60DD020503,AMEX60DD055073,WNT3A,FZD5
903,AMEX60DD020503,AMEX60DD019369,WNT3A,ROR1
904,AMEX60DD020503,AMEX60DD047640,WNT3A,ATP6AP2
905,AMEX60DD020503,AMEX60DD038203,WNT3A,APCDD1
906,AMEX60DD020503,AMEX60DD002309,WNT3A,RYK
907,AMEX60DD020503,AMEX60DD022211,WNT3A,FZD1
908,AMEX60DD020503,AMEX60DD054983,WNT3A,FZD7
910,AMEX60DD020503,AMEX60DD021741,WNT3A,FZD8
911,AMEX60DD020503,AMEX60DD009877,WNT3A,FZD2
913,AMEX60DD047408,AMEX60DD043107,APP,VLDLR
914,AMEX60DD047408,AMEX60DD049589,APP,MTNR1A
917,AMEX60DD047408,AMEX60DD009334,APP,LRP10
918,AMEX60DD047408,AMEX60DD001573,APP,PLD1
919,AMEX60DD047408,AMEX60DD024397,APP,TSPAN15
920,AMEX60DD047408,AMEX60DD041771,APP,DCC
921,AMEX60DD047408,AMEX60DD006319,APP,CAV1
922,AMEX60DD047408,AMEX60DD030446,APP,RPSA
923,AMEX60DD047408,AMEX60DD032963,APP,TNFRSF21
924,AMEX60DD047408,AMEX60DD016907,APP,NCSTN
926,AMEX60DD023665,AMEX60DD032011,WNT7A,LDLR
927,AMEX60DD023665,AMEX60DD024930,WNT7A,RECK
929,AMEX60DD023665,AMEX60DD055073,WNT7A,FZD5
930,AMEX60DD044644,AMEX60DD028021,DKK2,KREMEN2
931,AMEX60DD008217,AMEX60DD002309,WIF1,RYK
932,AMEX60DD044173,AMEX60DD041836,ADAMTS3,CCBE1
938,AMEX60DD040148,AMEX60DD054991,GDF6,BMPR2
939,AMEX60DD040148,AMEX60DD044043,GDF6,BMPR1A
940,AMEX60DD040148,AMEX60DD044042,GDF6,BMPR1B
944,AMEX60DD003175,AMEX60DD020731,SST,SSTR5
945,AMEX60DD003175,AMEX60DDU001033895,SST,SSTR2
946,AMEX60DD003175,AMEX60DD049589,SST,MTNR1A
947,AMEX60DD003175,AMEX60DD029326,SST,SSTR3
949,AMEX60DD052091,AMEX60DD021741,WNT4,FZD8
950,AMEX60DD052091,AMEX60DD009877,WNT4,FZD2
952,AMEX60DD009729,AMEX60DD011408,ACE,BDKRB2
953,AMEX60DD009729,AMEX60DD037538,ACE,AGTR2
958,AMEX60DD035913,AMEX60DD040528,CALM3,KCNQ3
959,AMEX60DD035913,AMEX60DD033597,CALM3,KCNQ5
960,AMEX60DD035913,AMEX60DD034378,CALM3,ESR1
962,AMEX60DD035913,AMEX60DD056087,CALM3,MYLK
965,AMEX60DD035913,AMEX60DD035296,CALM3,RYR2
966,AMEX60DD035913,AMEX60DD037995,CALM3,PDE1C
969,AMEX60DD035913,AMEX60DD029838,CALM3,AQP6
970,AMEX60DD035913,AMEX60DD049625,CALM3,GRM5
971,AMEX60DD035913,AMEX60DD027192,CALM3,MYLK2
973,AMEX60DD035913,AMEX60DD021318,CALM3,AQP1
974,AMEX60DD035913,AMEX60DD009634,CALM3,SCN4A
979,AMEX60DD015004,AMEX60DD043161,S100A1,TRPM3
980,AMEX60DD015004,AMEX60DD035296,S100A1,RYR2
981,AMEX60DD015004,AMEX60DD012123,S100A1,RYR1
986,AMEX60DD010044,AMEX60DD044169,HCRT,NPFFR2
987,AMEX60DD010044,AMEX60DD033476,HCRT,HCRTR2
988,AMEX60DD005060,AMEX60DD006040,SHANK1,ADGRB2
989,AMEX60DD005060,AMEX60DD013570,SHANK1,ABCA1
990,AMEX60DD005060,AMEX60DDU001033895,SHANK1,SSTR2
991,AMEX60DD005060,AMEX60DD018914,SHANK1,ADGRL2
992,AMEX60DD005060,AMEX60DD031740,SHANK1,ADGRL1
993,AMEX60DD029980,AMEX60DD002309,WNT1,RYK
994,AMEX60DD029980,AMEX60DD042956,WNT1,ROR2
995,AMEX60DD029980,AMEX60DD004352,WNT1,LRP5
998,AMEX60DD029980,AMEX60DD021741,WNT1,FZD8
999,AMEX60DD029980,AMEX60DD055073,WNT1,FZD5
1006,AMEX60DD048162,AMEX60DD002586,FGF11,FGFR1
1007,AMEX60DD048162,AMEX60DD046037,FGF11,FGFR3
1008,AMEX60DD020388,AMEX60DD003881,NTN3,NEO1
1009,AMEX60DD020388,AMEX60DD053448,NTN3,CDON
1013,AMEX60DD051109,AMEX60DD041771,DRAXIN,DCC
1020,AMEX60DD018590,AMEX60DD027709,ARPC5,ADRB2
1021,AMEX60DD018590,AMEX60DD032011,ARPC5,LDLR
1023,AMEX60DD056132,AMEX60DD003401,INHBB,SMAD3
1024,AMEX60DD056132,AMEX60DD030011,INHBB,ACVR1B
1026,AMEX60DD001415,AMEX60DD030013,BMP10,ACVRL1
1027,AMEX60DD001415,AMEX60DD054991,BMP10,BMPR2
1028,AMEX60DD001415,AMEX60DD044043,BMP10,BMPR1A
1029,AMEX60DD001415,AMEX60DD044042,BMP10,BMPR1B
1030,AMEX60DD001392,AMEX60DD055396,TGFA,ERBB4
1034,AMEX60DD056311,AMEX60DD043057,IHH,PTCH1
1035,AMEX60DD056311,AMEX60DD044974,IHH,HHIP
1036,AMEX60DD056311,AMEX60DD046905,IHH,BOC
1037,AMEX60DD056311,AMEX60DD053448,IHH,CDON
1038,AMEX60DD056311,AMEX60DD019887,IHH,PTCH2
1046,AMEX60DD044138,AMEX60DD049589,PPBP,MTNR1A
1048,AMEX60DD044138,AMEX60DD056252,PPBP,CXCR2
1061,AMEX60DD043026,AMEX60DD003401,TDGF1,SMAD3
1062,AMEX60DD043026,AMEX60DD030011,TDGF1,ACVR1B
1065,AMEX60DD047475,AMEX60DD031598,LIPH,LPAR2
1066,AMEX60DD001694,AMEX60DD003146,MELTF,TFRC
1083,AMEX60DD021621,AMEX60DD004775,SHH,SCUBE2
1084,AMEX60DD021621,AMEX60DD046905,SHH,BOC
1086,AMEX60DD021621,AMEX60DD053448,SHH,CDON
1087,AMEX60DD021621,AMEX60DD043077,SHH,GAS1
1088,AMEX60DD021621,AMEX60DD043057,SHH,PTCH1
1089,AMEX60DD021621,AMEX60DD019887,SHH,PTCH2
1092,AMEX60DD022398,AMEX60DD004228,COL1A2,ITGA11
1093,AMEX60DD022398,AMEX60DD009754,COL1A2,ITGB3
1094,AMEX60DD022398,AMEX60DD006223,COL1A2,CD36
1097,AMEX60DD048295,AMEX60DD055551,VEGFD,ITGA4
1099,AMEX60DD048295,AMEX60DD055040,VEGFD,NRP2
1100,AMEX60DD011821,AMEX60DD001573,ARF6,PLD1
1101,AMEX60DD011821,AMEX60DD033575,ARF6,SMAP1
1103,AMEX60DD053518,AMEX60DD055359,JAM3,ITGB2
1105,AMEX60DD008374,AMEX60DD048520,HSP90B1,TLR7
1132,AMEX60DD003392,AMEX60DD029106,IL16,GRIN2B
1133,AMEX60DD003392,AMEX60DD029289,IL16,KCNJ4
1134,AMEX60DD003392,AMEX60DD047185,IL16,KCNJ15
1135,AMEX60DD003392,AMEX60DD008703,IL16,KCNA3
1137,AMEX60DD003392,AMEX60DD025653,IL16,KCND2
1138,AMEX60DD003392,AMEX60DD021489,IL16,GRIN2A
1140,AMEX60DD019519,AMEX60DD043107,PCSK9,VLDLR
1141,AMEX60DD019519,AMEX60DD032011,PCSK9,LDLR
1155,AMEX60DD055165,AMEX60DD018528,COL3A1,DDR2
1157,AMEX60DD055165,AMEX60DD016175,COL3A1,MAG
1158,AMEX60DD055165,AMEX60DD051010,COL3A1,DDR1
1165,AMEX60DD012742,AMEX60DD011291,NLGN2,NRXN3
1166,AMEX60DD012742,AMEX60DD036390,NLGN2,MDGA1
1172,AMEX60DD002776,AMEX60DD054991,BMP1,BMPR2
1173,AMEX60DD002776,AMEX60DD044043,BMP1,BMPR1A
1174,AMEX60DD002776,AMEX60DD044042,BMP1,BMPR1B
1177,AMEX60DD045096,AMEX60DD009754,FGB,ITGB3
1178,AMEX60DD045096,AMEX60DD055359,FGB,ITGB2
1204,AMEX60DD031350,AMEX60DD029261,NPTX1,NPTXR
1206,AMEX60DD042644,AMEX60DD054991,RGMB,BMPR2
1207,AMEX60DD042644,AMEX60DD003881,RGMB,NEO1
1208,AMEX60DD042644,AMEX60DD044042,RGMB,BMPR1B
1223,AMEX60DD034920,AMEX60DD055359,PLG,ITGB2
1228,AMEX60DD007305,AMEX60DD014152,CLCF1,CRLF1
