,from,to,type,pathway
219,Bmp4,Bmpr1b_bmpr2,Secreted Signaling,
220,Bmp4,Bmpr1b,Secreted Signaling,
221,Bmp7,Bmpr1b_bmpr2,Secreted Signaling,
222,Bmp7,Bmpr1b,Secreted Signaling,
223,Bmp5,Bmpr1b_bmpr2,Secreted Signaling,
224,Bmp5,Bmpr1b,Secreted Signaling,
225,Bmp6,Bmpr1b_bmpr2,Secreted Signaling,
226,Bmp6,Bmpr1b,Secreted Signaling,
227,Gdf5,Bmpr1b_bmpr2,Secreted Signaling,
228,Gdf5,Bmpr1b,Secreted Signaling,
229,Gdf5,Bmpr2,Secreted Signaling,
230,Gdf6,Bmpr1b_bmpr2,Secreted Signaling,
231,Gdf6,Bmpr1b,Secreted Signaling,
232,Gdf7,Bmpr1b_bmpr2,Secreted Signaling,
233,Gdf7,Bmpr1b,Secreted Signaling,
234,Bmp8a,Bmpr1b_bmpr2,Secreted Signaling,
235,Bmp8a,Bmpr1b,Secreted Signaling,
236,Bmp2,Bmpr1a_acvr2a,Secreted Signaling,
237,Bmp2,Acvr2a,Secreted Signaling,
238,Bmp4,Bmpr1a_acvr2a,Secreted Signaling,
239,Bmp4,Acvr2a,Secreted Signaling,
240,Bmp7,Bmpr1a_acvr2a,Secreted Signaling,
241,Bmp5,Bmpr1a_acvr2a,Secreted Signaling,
242,Bmp6,Bmpr1a_acvr2a,Secreted Signaling,
243,Gdf5,Bmpr1a_acvr2a,Secreted Signaling,
244,Gdf5,Bmpr1a,Secreted Signaling,
245,Gdf5,Acvr2a,Secreted Signaling,
246,Gdf6,Bmpr1a_acvr2a,Secreted Signaling,
247,Gdf6,Acvr2a,Secreted Signaling,
248,Gdf7,Bmpr1a_acvr2a,Secreted Signaling,
249,Gdf7,Acvr2a,Secreted Signaling,
250,Bmp8a,Bmpr1a_acvr2a,Secreted Signaling,
251,Bmp2,Bmpr1a_acvr2b,Secreted Signaling,
252,Bmp2,Acvr2b,Secreted Signaling,
253,Bmp4,Bmpr1a_acvr2b,Secreted Signaling,
254,Bmp4,Acvr2b,Secreted Signaling,
255,Bmp7,Bmpr1a_acvr2b,Secreted Signaling,
256,Bmp5,Bmpr1a_acvr2b,Secreted Signaling,
257,Bmp6,Bmpr1a_acvr2b,Secreted Signaling,
258,Gdf5,Bmpr1a_acvr2b,Secreted Signaling,
259,Gdf5,Acvr2b,Secreted Signaling,
260,Gdf7,Bmpr1a_acvr2b,Secreted Signaling,
261,Gdf7,Acvr2b,Secreted Signaling,
262,Bmp8a,Bmpr1a_acvr2b,Secreted Signaling,
263,Bmp2,Bmpr1b_acvr2a,Secreted Signaling,
264,Bmp4,Bmpr1b_acvr2a,Secreted Signaling,
265,Bmp7,Bmpr1b_acvr2a,Secreted Signaling,
266,Bmp5,Bmpr1b_acvr2a,Secreted Signaling,
267,Bmp6,Bmpr1b_acvr2a,Secreted Signaling,
268,Gdf5,Bmpr1b_acvr2a,Secreted Signaling,
269,Gdf6,Bmpr1b_acvr2a,Secreted Signaling,
270,Gdf7,Bmpr1b_acvr2a,Secreted Signaling,
271,Bmp8a,Bmpr1b_acvr2a,Secreted Signaling,
272,Bmp2,Bmpr1b_acvr2b,Secreted Signaling,
273,Bmp4,Bmpr1b_acvr2b,Secreted Signaling,
274,Bmp7,Bmpr1b_acvr2b,Secreted Signaling,
275,Bmp5,Bmpr1b_acvr2b,Secreted Signaling,
276,Bmp6,Bmpr1b_acvr2b,Secreted Signaling,
277,Gdf5,Bmpr1b_acvr2b,Secreted Signaling,
278,Gdf6,Bmpr1b_acvr2b,Secreted Signaling,
279,Gdf6,Acvr2b,Secreted Signaling,
280,Gdf7,Bmpr1b_acvr2b,Secreted Signaling,
281,Bmp8a,Bmpr1b_acvr2b,Secreted Signaling,
282,Cd8a_cd8b1,Lck,Cell-Cell Contact,
283,Cd8a,Lck,Cell-Cell Contact,
284,Cd8b1,Lck,Cell-Cell Contact,
285,Klrd1_klrc1,H2-t23,Cell-Cell Contact,
286,Klrd1,H2-t23,Cell-Cell Contact,
287,Klrc1,H2-t23,Cell-Cell Contact,
288,Cntf,Cntfr_lifr_il6st,Secreted Signaling,
289,Cntf,Cntfr,Secreted Signaling,
290,Cntf,Lifr,Secreted Signaling,
291,Cntf,Il6st,Secreted Signaling,
292,Clcf1,Cntfr_lifr_il6st,Secreted Signaling,
293,Clcf1,Cntfr,Secreted Signaling,
294,Clcf1,Lifr,Secreted Signaling,
295,Clcf1,Il6st,Secreted Signaling,
296,Apoa1,Amn_cubn,Secreted Signaling,
297,Apoa1,Amn,Secreted Signaling,
