,from,to,pathway,database
324,sav,Mer,ppi,ppi
325,Diap1,TER94,ppi,ppi
326,cnn,ball,ppi,ppi
327,Sas-4,asl,ppi,ppi
328,Sas-4,asl,ppi,ppi
329,Sas-4,asl,ppi,ppi
330,Sas-4,asl,ppi,ppi
331,Sas-4,asl,ppi,ppi
332,Sas-4,asl,ppi,ppi
333,Sas-4,asl,ppi,ppi
334,Sas-4,asl,ppi,ppi
335,Sas-4,asl,ppi,ppi
336,Sas-4,asl,ppi,ppi
337,Sas-4,asl,ppi,ppi
338,Sas-4,asl,ppi,ppi
339,baz,par-6,ppi,ppi
340,baz,par-6,ppi,ppi
341,baz,par-6,ppi,ppi
342,baz,par-6,ppi,ppi
343,baz,par-6,ppi,ppi
344,baz,par-6,ppi,ppi
345,baz,par-6,ppi,ppi
346,ssp,Odj,ppi,ppi
347,ssp,Odj,ppi,ppi
348,Grip75,Grip163,ppi,ppi
349,Grip75,Grip163,ppi,ppi
350,cos,Su(fu),ppi,ppi
351,cos,Su(fu),ppi,ppi
352,cos,Su(fu),ppi,ppi
353,cos,Su(fu),ppi,ppi
354,tub,pll,ppi,ppi
355,tub,pll,ppi,ppi
356,tub,pll,ppi,ppi
357,tub,pll,ppi,ppi
358,tub,pll,ppi,ppi
359,tub,pll,ppi,ppi
360,tub,pll,ppi,ppi
361,tub,pll,ppi,ppi
362,tub,pll,ppi,ppi
363,tub,pll,ppi,ppi
364,tub,pll,ppi,ppi
365,tub,pll,ppi,ppi
366,tub,pll,ppi,ppi
367,tub,pll,ppi,ppi
368,tub,pll,ppi,ppi
369,tub,pll,ppi,ppi
370,tub,pll,ppi,ppi
371,tub,pll,ppi,ppi
372,tub,pll,ppi,ppi
373,tub,pll,ppi,ppi
374,tub,pll,ppi,ppi
375,Lar,Sdc,ppi,ppi
376,Lar,Sdc,ppi,ppi
377,Lar,Sdc,ppi,ppi
378,Cul1,TER94,ppi,ppi
379,E(z),Pcl,ppi,ppi
380,E(z),Pcl,ppi,ppi
381,E(z),Pcl,ppi,ppi
382,E(z),Pcl,ppi,ppi
383,E(z),Pcl,ppi,ppi
384,E(z),Pcl,ppi,ppi
385,E(z),Pcl,ppi,ppi
386,Sas-4,Grip75,ppi,ppi
387,Sas-4,Grip75,ppi,ppi
388,Clk,sxc,ppi,ppi
389,cnn,apt,ppi,ppi
390,Ada3,Spt3,ppi,ppi
391,Ada3,Spt3,ppi,ppi
392,Ada3,Spt3,ppi,ppi
393,cact,tub,ppi,ppi
394,numb,pon,ppi,ppi
395,numb,pon,ppi,ppi
